economist,institution,indicator,period,forecast
Mark Zandi,Moody's Analytics,cpi_yoy_dec,2018,1.6
Diane Swonk,KPMG,cpi_yoy_dec,2018,1.8
Gregory Daco,EY-Parthenon,cpi_yoy_dec,2018,2.3
Torsten Slok,Apollo Global Management,cpi_yoy_dec,2018,2.0
James Knightley,ING,cpi_yoy_dec,2018,1.9
Nathan Sheets,Citi,cpi_yoy_dec,2018,2.0
Stephen Stanley,Santander US Capital Markets,cpi_yoy_dec,2019,2.1
Michael Feroli,J.P. Morgan,cpi_yoy_dec,2019,2.5
Jan Hatzius,Goldman Sachs,cpi_yoy_dec,2019,2.1
Ellen Zentner,Morgan Stanley,cpi_yoy_dec,2019,2.6
Mark Zandi,Moody's Analytics,cpi_yoy_dec,2019,2.6
Diane Swonk,KPMG,cpi_yoy_dec,2019,2.9
Gregory Daco,EY-Parthenon,cpi_yoy_dec,2019,1.7
Torsten Slok,Apollo Global Management,cpi_yoy_dec,2019,2.4
James Knightley,ING,cpi_yoy_dec,2019,1.4
Nathan Sheets,Citi,cpi_yoy_dec,2019,2.6
Stephen Stanley,Santander US Capital Markets,cpi_yoy_dec,2020,0.4
Michael Feroli,J.P. Morgan,cpi_yoy_dec,2020,0.9
Jan Hatzius,Goldman Sachs,cpi_yoy_dec,2020,2.4
Ellen Zentner,Morgan Stanley,cpi_yoy_dec,2020,1.3
Mark Zandi,Moody's Analytics,cpi_yoy_dec,2020,4.1
Diane Swonk,KPMG,cpi_yoy_dec,2020,1.6
Gregory Daco,EY-Parthenon,cpi_yoy_dec,2020,1.4
Torsten Slok,Apollo Global Management,cpi_yoy_dec,2020,2.7
James Knightley,ING,cpi_yoy_dec,2020,0.4
Nathan Sheets,Citi,cpi_yoy_dec,2020,0.7
Stephen Stanley,Santander US Capital Markets,cpi_yoy_dec,2021,7.3
Michael Feroli,J.P. Morgan,cpi_yoy_dec,2021,7.4
Jan Hatzius,Goldman Sachs,cpi_yoy_dec,2021,6.7
Ellen Zentner,Morgan Stanley,cpi_yoy_dec,2021,6.1
Mark Zandi,Moody's Analytics,cpi_yoy_dec,2021,8.3
Diane Swonk,KPMG,cpi_yoy_dec,2021,6.4
Gregory Daco,EY-Parthenon,cpi_yoy_dec,2021,7.7
Torsten Slok,Apollo Global Management,cpi_yoy_dec,2021,6.7
James Knightley,ING,cpi_yoy_dec,2021,7.8
Nathan Sheets,Citi,cpi_yoy_dec,2021,6.5
Stephen Stanley,Santander US Capital Markets,cpi_yoy_dec,2022,6.3
Michael Feroli,J.P. Morgan,cpi_yoy_dec,2022,6.8
Jan Hatzius,Goldman Sachs,cpi_yoy_dec,2022,6.3
Ellen Zentner,Morgan Stanley,cpi_yoy_dec,2022,6.7
Mark Zandi,Moody's Analytics,cpi_yoy_dec,2022,6.7
Diane Swonk,KPMG,cpi_yoy_dec,2022,5.5
Gregory Daco,EY-Parthenon,cpi_yoy_dec,2022,6.0
Torsten Slok,Apollo Global Management,cpi_yoy_dec,2022,6.8
James Knightley,ING,cpi_yoy_dec,2022,6.4
Nathan Sheets,Citi,cpi_yoy_dec,2022,7.2
Stephen Stanley,Santander US Capital Markets,cpi_yoy_dec,2023,3.5
Michael Feroli,J.P. Morgan,cpi_yoy_dec,2023,3.0
Jan Hatzius,Goldman Sachs,cpi_yoy_dec,2023,3.7
Ellen Zentner,Morgan Stanley,cpi_yoy_dec,2023,2.7
Mark Zandi,Moody's Analytics,cpi_yoy_dec,2023,3.7
Diane Swonk,KPMG,cpi_yoy_dec,2023,3.8
Gregory Daco,EY-Parthenon,cpi_yoy_dec,2023,4.0
Torsten Slok,Apollo Global Management,cpi_yoy_dec,2023,2.7
James Knightley,ING,cpi_yoy_dec,2023,3.5
Nathan Sheets,Citi,cpi_yoy_dec,2023,3.7
Stephen Stanley,Santander US Capital Markets,cpi_yoy_dec,2024,2.7
Michael Feroli,J.P. Morgan,cpi_yoy_dec,2024,2.8
Jan Hatzius,Goldman Sachs,cpi_yoy_dec,2024,3.6
Ellen Zentner,Morgan Stanley,cpi_yoy_dec,2024,3.5
Mark Zandi,Moody's Analytics,cpi_yoy_dec,2024,3.6
Diane Swonk,KPMG,cpi_yoy_dec,2024,2.5
Gregory Daco,EY-Parthenon,cpi_yoy_dec,2024,3.4
Torsten Slok,Apollo Global Management,cpi_yoy_dec,2024,2.7
James Knightley,ING,cpi_yoy_dec,2024,3.4
Nathan Sheets,Citi,cpi_yoy_dec,2024,2.5
Stephen Stanley,Santander US Capital Markets,unemployment_rate_dec,2015,5.1
Michael Feroli,J.P. Morgan,unemployment_rate_dec,2015,4.7
Jan Hatzius,Goldman Sachs,unemployment_rate_dec,2015,5.2
Ellen Zentner,Morgan Stanley,unemployment_rate_dec,2015,5.7
Mark Zandi,Moody's Analytics,unemployment_rate_dec,2015,5.5
Diane Swonk,KPMG,unemployment_rate_dec,2015,5.4
Gregory Daco,EY-Parthenon,unemployment_rate_dec,2015,4.9
Torsten Slok,Apollo Global Management,unemployment_rate_dec,2015,5.1
James Knightley,ING,unemployment_rate_dec,2015,5.0
Nathan Sheets,Citi,unemployment_rate_dec,2015,5.4
Stephen Stanley,Santander US Capital Markets,unemployment_rate_dec,2016,4.8
Michael Feroli,J.P. Morgan,unemployment_rate_dec,2016,4.7
Jan Hatzius,Goldman Sachs,unemployment_rate_dec,2016,5.0
Ellen Zentner,Morgan Stanley,unemployment_rate_dec,2016,4.8
Mark Zandi,Moody's Analytics,unemployment_rate_dec,2016,5.4
Diane Swonk,KPMG,unemployment_rate_dec,2016,4.7
Gregory Daco,EY-Parthenon,unemployment_rate_dec,2016,3.6
Torsten Slok,Apollo Global Management,unemployment_rate_dec,2016,5.0
James Knightley,ING,unemployment_rate_dec,2016,4.9
Nathan Sheets,Citi,unemployment_rate_dec,2016,5.1
Stephen Stanley,Santander US Capital Markets,unemployment_rate_dec,2017,4.1
Michael Feroli,J.P. Morgan,unemployment_rate_dec,2017,3.8
Jan Hatzius,Goldman Sachs,unemployment_rate_dec,2017,4.3
Ellen Zentner,Morgan Stanley,unemployment_rate_dec,2017,4.3
Mark Zandi,Moody's Analytics,unemployment_rate_dec,2017,4.3
Diane Swonk,KPMG,unemployment_rate_dec,2017,4.3
Gregory Daco,EY-Parthenon,unemployment_rate_dec,2017,4.3
Torsten Slok,Apollo Global Management,unemployment_rate_dec,2017,4.1
James Knightley,ING,unemployment_rate_dec,2017,3.5
Nathan Sheets,Citi,unemployment_rate_dec,2017,3.9
Stephen Stanley,Santander US Capital Markets,unemployment_rate_dec,2018,3.9
Michael Feroli,J.P. Morgan,unemployment_rate_dec,2018,3.7
Jan Hatzius,Goldman Sachs,unemployment_rate_dec,2018,3.8
Ellen Zentner,Morgan Stanley,unemployment_rate_dec,2018,3.8
Mark Zandi,Moody's Analytics,unemployment_rate_dec,2018,4.5
Diane Swonk,KPMG,unemployment_rate_dec,2018,3.6
Gregory Daco,EY-Parthenon,unemployment_rate_dec,2018,3.9
Torsten Slok,Apollo Global Management,unemployment_rate_dec,2018,3.6
James Knightley,ING,unemployment_rate_dec,2018,4.0
Nathan Sheets,Citi,unemployment_rate_dec,2018,4.0
Stephen Stanley,Santander US Capital Markets,unemployment_rate_dec,2019,3.7
Michael Feroli,J.P. Morgan,unemployment_rate_dec,2019,3.3
Jan Hatzius,Goldman Sachs,unemployment_rate_dec,2019,3.4
Ellen Zentner,Morgan Stanley,unemployment_rate_dec,2019,3.7
Mark Zandi,Moody's Analytics,unemployment_rate_dec,2019,3.8
Diane Swonk,KPMG,unemployment_rate_dec,2019,3.3
Gregory Daco,EY-Parthenon,unemployment_rate_dec,2019,4.0
Torsten Slok,Apollo Global Management,unemployment_rate_dec,2019,3.7
James Knightley,ING,unemployment_rate_dec,2019,3.7
Nathan Sheets,Citi,unemployment_rate_dec,2019,3.9
Stephen Stanley,Santander US Capital Markets,unemployment_rate_dec,2020,8.3
Michael Feroli,J.P. Morgan,unemployment_rate_dec,2020,8.3
Jan Hatzius,Goldman Sachs,unemployment_rate_dec,2020,8.4
Ellen Zentner,Morgan Stanley,unemployment_rate_dec,2020,6.2
Mark Zandi,Moody's Analytics,unemployment_rate_dec,2020,8.5
Diane Swonk,KPMG,unemployment_rate_dec,2020,6.2
Gregory Daco,EY-Parthenon,unemployment_rate_dec,2020,7.2
Torsten Slok,Apollo Global Management,unemployment_rate_dec,2020,7.5
James Knightley,ING,unemployment_rate_dec,2020,8.2
Nathan Sheets,Citi,unemployment_rate_dec,2020,5.7
Stephen Stanley,Santander US Capital Markets,unemployment_rate_dec,2021,3.6
Michael Feroli,J.P. Morgan,unemployment_rate_dec,2021,3.9
Jan Hatzius,Goldman Sachs,unemployment_rate_dec,2021,5.2
Ellen Zentner,Morgan Stanley,unemployment_rate_dec,2021,5.8
Mark Zandi,Moody's Analytics,unemployment_rate_dec,2021,4.0
Diane Swonk,KPMG,unemployment_rate_dec,2021,3.0
Gregory Daco,EY-Parthenon,unemployment_rate_dec,2021,2.7
Torsten Slok,Apollo Global Management,unemployment_rate_dec,2021,3.6
James Knightley,ING,unemployment_rate_dec,2021,3.3
Nathan Sheets,Citi,unemployment_rate_dec,2021,2.6
Stephen Stanley,Santander US Capital Markets,unemployment_rate_dec,2022,3.9
Michael Feroli,J.P. Morgan,unemployment_rate_dec,2022,3.6
Jan Hatzius,Goldman Sachs,unemployment_rate_dec,2022,3.8
Ellen Zentner,Morgan Stanley,unemployment_rate_dec,2022,3.8
Mark Zandi,Moody's Analytics,unemployment_rate_dec,2022,3.3
Diane Swonk,KPMG,unemployment_rate_dec,2022,3.0
Gregory Daco,EY-Parthenon,unemployment_rate_dec,2022,3.5
Torsten Slok,Apollo Global Management,unemployment_rate_dec,2022,3.4
James Knightley,ING,unemployment_rate_dec,2022,3.6
Nathan Sheets,Citi,unemployment_rate_dec,2022,3.7
Stephen Stanley,Santander US Capital Markets,unemployment_rate_dec,2023,4.2
Michael Feroli,J.P. Morgan,unemployment_rate_dec,2023,3.7
Jan Hatzius,Goldman Sachs,unemployment_rate_dec,2023,3.7
Ellen Zentner,Morgan Stanley,unemployment_rate_dec,2023,3.7
Mark Zandi,Moody's Analytics,unemployment_rate_dec,2023,4.2
Diane Swonk,KPMG,unemployment_rate_dec,2023,3.7
Gregory Daco,EY-Parthenon,unemployment_rate_dec,2023,3.5
Torsten Slok,Apollo Global Management,unemployment_rate_dec,2023,4.5
James Knightley,ING,unemployment_rate_dec,2023,3.4
Nathan Sheets,Citi,unemployment_rate_dec,2023,4.1
Stephen Stanley,Santander US Capital Markets,unemployment_rate_dec,2024,3.9
Michael Feroli,J.P. Morgan,unemployment_rate_dec,2024,4.4
Jan Hatzius,Goldman Sachs,unemployment_rate_dec,2024,3.6
Ellen Zentner,Morgan Stanley,unemployment_rate_dec,2024,4.0
Mark Zandi,Moody's Analytics,unemployment_rate_dec,2024,4.0
Diane Swonk,KPMG,unemployment_rate_dec,2024,4.2
Gregory Daco,EY-Parthenon,unemployment_rate_dec,2024,3.5
Torsten Slok,Apollo Global Management,unemployment_rate_dec,2024,3.7
James Knightley,ING,unemployment_rate_dec,2024,5.3
Nathan Sheets,Citi,unemployment_rate_dec,2024,4.0
Stephen Stanley,Santander US Capital Markets,gdp_annual,2015,3.4
Michael Feroli,J.P. Morgan,gdp_annual,2015,3.0
Jan Hatzius,Goldman Sachs,gdp_annual,2015,2.9
Ellen Zentner,Morgan Stanley,gdp_annual,2015,2.8
Mark Zandi,Moody's Analytics,gdp_annual,2015,3.1
Diane Swonk,KPMG,gdp_annual,2015,2.7
Gregory Daco,EY-Parthenon,gdp_annual,2015,3.0
Torsten Slok,Apollo Global Management,gdp_annual,2015,3.2
James Knightley,ING,gdp_annual,2015,3.8
Nathan Sheets,Citi,gdp_annual,2015,3.4
Stephen Stanley,Santander US Capital Markets,gdp_annual,2016,1.7
Michael Feroli,J.P. Morgan,gdp_annual,2016,1.9
Jan Hatzius,Goldman Sachs,gdp_annual,2016,1.7
Ellen Zentner,Morgan Stanley,gdp_annual,2016,0.2
Mark Zandi,Moody's Analytics,gdp_annual,2016,2.0
Diane Swonk,KPMG,gdp_annual,2016,1.7
Gregory Daco,EY-Parthenon,gdp_annual,2016,2.5
Torsten Slok,Apollo Global Management,gdp_annual,2016,2.7
James Knightley,ING,gdp_annual,2016,1.9
Nathan Sheets,Citi,gdp_annual,2016,2.5
Stephen Stanley,Santander US Capital Markets,gdp_annual,2017,2.1
Michael Feroli,J.P. Morgan,gdp_annual,2017,2.4
Jan Hatzius,Goldman Sachs,gdp_annual,2017,2.9
Ellen Zentner,Morgan Stanley,gdp_annual,2017,2.6
Mark Zandi,Moody's Analytics,gdp_annual,2017,2.1
Diane Swonk,KPMG,gdp_annual,2017,3.6
Gregory Daco,EY-Parthenon,gdp_annual,2017,2.1
Torsten Slok,Apollo Global Management,gdp_annual,2017,2.3
James Knightley,ING,gdp_annual,2017,3.2
Nathan Sheets,Citi,gdp_annual,2017,2.7
Stephen Stanley,Santander US Capital Markets,gdp_annual,2018,3.2
Michael Feroli,J.P. Morgan,gdp_annual,2018,3.3
Jan Hatzius,Goldman Sachs,gdp_annual,2018,3.6
Ellen Zentner,Morgan Stanley,gdp_annual,2018,3.0
Mark Zandi,Moody's Analytics,gdp_annual,2018,2.4
Diane Swonk,KPMG,gdp_annual,2018,3.6
Gregory Daco,EY-Parthenon,gdp_annual,2018,3.3
Torsten Slok,Apollo Global Management,gdp_annual,2018,2.4
James Knightley,ING,gdp_annual,2018,3.0
Nathan Sheets,Citi,gdp_annual,2018,3.2
Stephen Stanley,Santander US Capital Markets,gdp_annual,2019,2.6
Michael Feroli,J.P. Morgan,gdp_annual,2019,3.2
Jan Hatzius,Goldman Sachs,gdp_annual,2019,2.4
Ellen Zentner,Morgan Stanley,gdp_annual,2019,2.3
Mark Zandi,Moody's Analytics,gdp_annual,2019,2.7
Diane Swonk,KPMG,gdp_annual,2019,2.1
Gregory Daco,EY-Parthenon,gdp_annual,2019,3.0
Torsten Slok,Apollo Global Management,gdp_annual,2019,3.5
James Knightley,ING,gdp_annual,2019,3.3
Nathan Sheets,Citi,gdp_annual,2019,1.5
Stephen Stanley,Santander US Capital Markets,gdp_annual,2020,-4.7
Michael Feroli,J.P. Morgan,gdp_annual,2020,-2.4
Jan Hatzius,Goldman Sachs,gdp_annual,2020,-4.7
Ellen Zentner,Morgan Stanley,gdp_annual,2020,-4.4
Mark Zandi,Moody's Analytics,gdp_annual,2020,-2.1
Diane Swonk,KPMG,gdp_annual,2020,-2.9
Gregory Daco,EY-Parthenon,gdp_annual,2020,-4.3
Torsten Slok,Apollo Global Management,gdp_annual,2020,-1.9
James Knightley,ING,gdp_annual,2020,-5.3
Nathan Sheets,Citi,gdp_annual,2020,-4.7
Stephen Stanley,Santander US Capital Markets,gdp_annual,2021,6.0
Michael Feroli,J.P. Morgan,gdp_annual,2021,6.3
Jan Hatzius,Goldman Sachs,gdp_annual,2021,6.7
Ellen Zentner,Morgan Stanley,gdp_annual,2021,2.7
Mark Zandi,Moody's Analytics,gdp_annual,2021,5.1
Diane Swonk,KPMG,gdp_annual,2021,8.3
Gregory Daco,EY-Parthenon,gdp_annual,2021,6.6
Torsten Slok,Apollo Global Management,gdp_annual,2021,7.1
James Knightley,ING,gdp_annual,2021,2.6
Nathan Sheets,Citi,gdp_annual,2021,7.3
Stephen Stanley,Santander US Capital Markets,gdp_annual,2022,2.8
Michael Feroli,J.P. Morgan,gdp_annual,2022,2.2
Jan Hatzius,Goldman Sachs,gdp_annual,2022,3.4
Ellen Zentner,Morgan Stanley,gdp_annual,2022,2.8
Mark Zandi,Moody's Analytics,gdp_annual,2022,3.0
Diane Swonk,KPMG,gdp_annual,2022,3.5
Gregory Daco,EY-Parthenon,gdp_annual,2022,2.3
Torsten Slok,Apollo Global Management,gdp_annual,2022,2.6
James Knightley,ING,gdp_annual,2022,2.4
Nathan Sheets,Citi,gdp_annual,2022,2.7
Stephen Stanley,Santander US Capital Markets,gdp_annual,2023,3.3
Michael Feroli,J.P. Morgan,gdp_annual,2023,2.3
Jan Hatzius,Goldman Sachs,gdp_annual,2023,3.0
Ellen Zentner,Morgan Stanley,gdp_annual,2023,2.7
Mark Zandi,Moody's Analytics,gdp_annual,2023,3.9
Diane Swonk,KPMG,gdp_annual,2023,1.9
Gregory Daco,EY-Parthenon,gdp_annual,2023,3.5
Torsten Slok,Apollo Global Management,gdp_annual,2023,3.0
James Knightley,ING,gdp_annual,2023,1.9
Nathan Sheets,Citi,gdp_annual,2023,2.5
Stephen Stanley,Santander US Capital Markets,gdp_annual,2024,3.9
Michael Feroli,J.P. Morgan,gdp_annual,2024,3.3
Jan Hatzius,Goldman Sachs,gdp_annual,2024,2.8
Ellen Zentner,Morgan Stanley,gdp_annual,2024,2.5
Mark Zandi,Moody's Analytics,gdp_annual,2024,2.3
Diane Swonk,KPMG,gdp_annual,2024,2.9
Gregory Daco,EY-Parthenon,gdp_annual,2024,2.9
Torsten Slok,Apollo Global Management,gdp_annual,2024,2.2
James Knightley,ING,gdp_annual,2024,2.8
Nathan Sheets,Citi,gdp_annual,2024,3.0
