date,true_premium_bp
2019-07-03,9.61
2019-07-04,9.77
2019-07-05,9.79
2019-07-08,10.18
2019-07-09,10.43
2019-07-10,10.47
2019-07-11,10.56
2019-07-12,10.05
2019-07-15,9.77
2019-07-16,9.82
2019-07-17,10.08
2019-07-18,9.83
2019-07-19,9.25
2019-07-22,9.18
2019-07-23,9.28
2019-07-24,9.26
2019-07-25,9.79
2019-07-26,9.81
2019-07-29,9.87
2019-07-30,9.68
2019-07-31,9.52
2019-08-01,9.92
2019-08-02,9.69
2019-08-05,9.57
2019-08-06,8.9
2019-08-07,9.23
2019-08-08,9.52
2019-08-09,9.8
2019-08-12,10.0
2019-08-13,10.1
2019-08-14,10.5
2019-08-15,10.67
2019-08-16,10.86
2019-08-19,11.24
2019-08-20,11.0
2019-08-21,11.05
2019-08-22,10.46
2019-08-23,10.52
2019-08-26,10.97
2019-08-27,10.87
2019-08-28,11.01
2019-08-29,10.92
2019-08-30,10.68
2019-09-02,9.81
2019-09-03,9.52
2019-09-04,13.71
2019-09-05,13.71
2019-09-06,13.38
2019-09-09,13.27
2019-09-10,13.43
2019-09-11,13.06
2019-09-12,12.14
2019-09-13,11.68
2019-09-16,11.36
2019-09-17,11.03
2019-09-18,10.81
2019-09-19,10.46
2019-09-20,10.46
2019-09-23,10.26
2019-09-24,10.26
2019-09-25,10.02
2019-09-26,10.49
2019-09-27,10.27
2019-09-30,10.18
2019-10-01,10.4
2019-10-02,10.18
2019-10-03,9.96
2019-10-04,9.7
2019-10-07,9.22
2019-10-08,8.81
2019-10-09,8.76
2019-10-10,8.16
2019-10-11,24.75
2019-10-14,23.77
2019-10-15,22.81
2019-10-16,22.03
2019-10-17,21.03
2019-10-18,20.15
2019-10-21,19.76
2019-10-22,18.96
2019-10-23,18.28
2019-10-24,18.22
2019-10-25,17.78
2019-10-28,17.23
2019-10-29,16.68
2019-10-30,16.16
2019-10-31,15.48
2019-11-01,14.8
2019-11-04,14.24
2019-11-05,14.04
2019-11-06,13.73
2019-11-07,14.12
2019-11-08,14.15
2019-11-11,14.0
2019-11-12,13.27
2019-11-13,13.51
2019-11-14,13.4
2019-11-15,13.11
2019-11-18,13.85
2019-11-19,13.62
2019-11-20,13.61
2019-11-21,13.73
2019-11-22,13.54
2019-11-25,13.39
2019-11-26,13.52
2019-11-27,13.21
2019-11-28,12.8
2019-11-29,19.76
2019-12-02,18.53
2019-12-03,18.41
2019-12-04,18.39
2019-12-05,17.19
2019-12-06,16.46
2019-12-09,16.12
2019-12-10,15.02
2019-12-11,13.75
2019-12-12,13.69
2019-12-13,13.47
2019-12-16,13.45
2019-12-17,12.97
2019-12-18,12.64
2019-12-19,12.22
2019-12-20,11.69
2019-12-23,11.7
2019-12-24,11.58
2019-12-25,11.56
2019-12-26,11.67
2019-12-27,11.44
2019-12-30,11.34
2019-12-31,11.22
2020-01-01,11.45
2020-01-02,11.35
2020-01-03,10.95
2020-01-06,10.77
2020-01-07,10.65
2020-01-08,10.67
2020-01-09,10.91
2020-01-10,11.13
2020-01-13,10.53
2020-01-14,10.72
2020-01-15,10.87
2020-01-16,11.28
2020-01-17,11.28
2020-01-20,11.47
2020-01-21,11.21
2020-01-22,11.37
2020-01-23,11.32
2020-01-24,11.66
2020-01-27,11.33
2020-01-28,10.83
2020-01-29,10.76
2020-01-30,10.77
2020-01-31,11.15
2020-02-03,11.18
2020-02-04,11.48
2020-02-05,11.67
2020-02-06,11.44
2020-02-07,11.19
2020-02-10,10.81
2020-02-11,10.53
2020-02-12,10.18
2020-02-13,9.9
2020-02-14,9.92
2020-02-17,9.95
2020-02-18,9.88
2020-02-19,16.32
2020-02-20,15.69
2020-02-21,15.15
2020-02-24,14.81
2020-02-25,14.34
2020-02-26,14.02
2020-02-27,13.76
2020-02-28,13.69
2020-03-02,13.58
2020-03-03,13.16
2020-03-04,12.93
2020-03-05,12.39
2020-03-06,11.81
2020-03-09,11.38
2020-03-10,10.82
2020-03-11,10.68
2020-03-12,40.37
2020-03-13,37.55
2020-03-16,35.08
2020-03-17,32.99
2020-03-18,31.11
2020-03-19,30.0
2020-03-20,28.6
2020-03-23,26.84
2020-03-24,25.79
2020-03-25,24.05
2020-03-26,22.42
2020-03-27,21.14
2020-03-30,19.91
2020-03-31,18.42
2020-04-01,17.55
2020-04-02,17.31
2020-04-03,16.53
2020-04-06,15.73
2020-04-07,14.99
2020-04-08,13.77
2020-04-09,13.59
2020-04-10,13.28
2020-04-13,12.57
2020-04-14,12.31
2020-04-15,12.12
2020-04-16,12.18
2020-04-17,11.12
2020-04-20,10.51
2020-04-21,10.19
2020-04-22,9.8
2020-04-23,9.49
2020-04-24,9.5
2020-04-27,9.17
2020-04-28,9.47
2020-04-29,9.11
2020-04-30,8.52
2020-05-01,8.7
2020-05-04,7.99
2020-05-05,7.88
2020-05-06,8.45
2020-05-07,8.44
2020-05-08,8.44
2020-05-11,8.64
2020-05-12,7.78
2020-05-13,7.76
2020-05-14,7.78
2020-05-15,7.24
2020-05-18,6.65
2020-05-19,6.74
2020-05-20,6.9
2020-05-21,7.01
2020-05-22,6.87
2020-05-25,6.83
2020-05-26,6.64
2020-05-27,6.74
2020-05-28,6.04
2020-05-29,6.14
2020-06-01,6.18
2020-06-02,5.55
2020-06-03,5.25
2020-06-04,5.1
2020-06-05,4.88
2020-06-08,5.07
2020-06-09,5.25
2020-06-10,5.13
2020-06-11,5.21
2020-06-12,5.09
2020-06-15,4.49
2020-06-16,10.69
2020-06-17,10.15
2020-06-18,9.37
2020-06-19,9.27
2020-06-22,9.12
2020-06-23,9.17
2020-06-24,8.88
2020-06-25,8.81
2020-06-26,8.3
2020-06-29,8.22
2020-06-30,7.96
2020-07-01,7.35
2020-07-02,7.51
2020-07-03,6.67
2020-07-06,12.7
2020-07-07,12.53
2020-07-08,11.93
2020-07-09,11.25
2020-07-10,11.27
2020-07-13,11.07
2020-07-14,10.67
2020-07-15,10.3
2020-07-16,10.23
2020-07-17,9.51
2020-07-20,8.96
2020-07-21,8.83
2020-07-22,9.25
2020-07-23,9.49
2020-07-24,8.79
2020-07-27,8.57
2020-07-28,7.97
2020-07-29,7.94
2020-07-30,8.09
2020-07-31,7.79
2020-08-03,8.31
2020-08-04,8.28
2020-08-05,8.53
2020-08-06,8.82
2020-08-07,8.89
2020-08-10,8.5
2020-08-11,22.91
2020-08-12,21.9
2020-08-13,32.28
2020-08-14,31.18
2020-08-17,29.54
2020-08-18,28.16
2020-08-19,27.32
2020-08-20,25.81
2020-08-21,24.76
2020-08-24,23.01
2020-08-25,22.02
2020-08-26,21.29
2020-08-27,20.78
2020-08-28,19.97
2020-08-31,19.16
2020-09-01,18.62
2020-09-02,18.01
2020-09-03,17.0
2020-09-04,16.17
2020-09-07,15.86
2020-09-08,15.86
2020-09-09,15.26
2020-09-10,14.68
2020-09-11,14.33
2020-09-14,13.87
2020-09-15,13.35
2020-09-16,12.85
2020-09-17,12.4
2020-09-18,12.52
2020-09-21,12.13
2020-09-22,11.53
2020-09-23,11.45
2020-09-24,11.64
2020-09-25,11.66
2020-09-28,11.19
2020-09-29,11.37
2020-09-30,11.37
2020-10-01,11.21
2020-10-02,11.18
2020-10-05,10.87
2020-10-06,11.14
2020-10-07,11.17
2020-10-08,11.09
2020-10-09,11.72
2020-10-12,11.38
2020-10-13,11.6
2020-10-14,10.9
2020-10-15,11.0
2020-10-16,10.85
2020-10-19,11.41
2020-10-20,11.13
2020-10-21,10.97
2020-10-22,11.17
2020-10-23,11.4
2020-10-26,11.62
2020-10-27,11.46
2020-10-28,11.01
2020-10-29,10.97
2020-10-30,10.2
2020-11-02,10.04
2020-11-03,9.84
2020-11-04,9.12
2020-11-05,8.21
2020-11-06,8.12
2020-11-09,7.83
2020-11-10,7.3
2020-11-11,7.59
2020-11-12,7.66
2020-11-13,8.58
2020-11-16,8.35
2020-11-17,8.0
2020-11-18,8.09
2020-11-19,7.7
2020-11-20,7.56
2020-11-23,7.75
2020-11-24,8.17
2020-11-25,8.1
2020-11-26,7.88
2020-11-27,7.71
2020-11-30,8.11
2020-12-01,33.39
2020-12-02,31.53
2020-12-03,29.97
2020-12-04,28.57
2020-12-07,27.37
2020-12-08,26.89
2020-12-09,25.52
2020-12-10,24.37
2020-12-11,22.95
2020-12-14,22.33
2020-12-15,21.65
2020-12-16,20.74
2020-12-17,19.37
2020-12-18,18.81
2020-12-21,18.23
2020-12-22,17.66
2020-12-23,17.26
2020-12-24,16.42
2020-12-25,16.2
2020-12-28,15.78
2020-12-29,15.27
2020-12-30,15.04
2020-12-31,14.04
2021-01-01,13.72
2021-01-04,13.04
2021-01-05,13.02
2021-01-06,13.07
2021-01-07,12.72
2021-01-08,12.28
2021-01-11,11.82
2021-01-12,11.57
2021-01-13,11.27
2021-01-14,10.97
2021-01-15,10.21
2021-01-18,10.73
2021-01-19,10.57
2021-01-20,10.49
2021-01-21,10.44
2021-01-22,10.79
2021-01-25,11.12
2021-01-26,10.65
2021-01-27,11.06
2021-01-28,11.07
2021-01-29,10.86
2021-02-01,10.51
2021-02-02,10.29
2021-02-03,9.99
2021-02-04,9.52
2021-02-05,9.64
2021-02-08,9.5
2021-02-09,9.28
2021-02-10,9.17
2021-02-11,9.0
2021-02-12,8.86
2021-02-15,8.6
2021-02-16,8.2
2021-02-17,7.62
2021-02-18,7.38
2021-02-19,7.66
2021-02-22,7.09
2021-02-23,7.32
2021-02-24,7.14
2021-02-25,7.36
2021-02-26,7.95
2021-03-01,8.03
2021-03-02,7.64
2021-03-03,8.35
2021-03-04,8.66
2021-03-05,9.07
2021-03-08,8.7
2021-03-09,8.49
2021-03-10,8.7
2021-03-11,8.15
2021-03-12,8.1
2021-03-15,8.02
2021-03-16,8.26
2021-03-17,8.42
2021-03-18,8.6
2021-03-19,8.23
2021-03-22,8.55
2021-03-23,8.38
2021-03-24,8.39
2021-03-25,8.58
2021-03-26,8.68
2021-03-29,7.87
2021-03-30,7.38
2021-03-31,7.13
2021-04-01,6.96
2021-04-02,6.77
2021-04-05,7.08
2021-04-06,6.91
2021-04-07,6.8
2021-04-08,6.97
2021-04-09,6.78
2021-04-12,7.0
2021-04-13,6.96
2021-04-14,7.4
2021-04-15,7.85
2021-04-16,8.05
2021-04-19,7.67
2021-04-20,7.49
2021-04-21,7.5
2021-04-22,7.64
2021-04-23,7.88
2021-04-26,7.79
2021-04-27,7.77
2021-04-28,8.19
2021-04-29,7.4
2021-04-30,7.22
2021-05-03,7.22
2021-05-04,7.62
2021-05-05,7.59
2021-05-06,7.57
2021-05-07,6.81
2021-05-10,7.16
2021-05-11,6.99
2021-05-12,6.78
2021-05-13,6.62
2021-05-14,6.11
2021-05-17,6.27
2021-05-18,5.68
2021-05-19,5.87
2021-05-20,6.25
2021-05-21,6.3
2021-05-24,6.16
2021-05-25,6.25
2021-05-26,6.1
2021-05-27,5.76
2021-05-28,5.3
2021-05-31,5.34
2021-06-01,5.17
2021-06-02,4.97
2021-06-03,5.41
2021-06-04,5.49
2021-06-07,5.82
2021-06-08,5.75
2021-06-09,5.43
2021-06-10,5.93
2021-06-11,5.64
2021-06-14,6.02
2021-06-15,6.5
2021-06-16,6.77
2021-06-17,6.78
2021-06-18,6.45
2021-06-21,6.79
2021-06-22,6.56
2021-06-23,6.81
2021-06-24,6.78
2021-06-25,6.77
2021-06-28,6.44
2021-06-29,6.28
2021-06-30,6.23
2021-07-01,5.98
2021-07-02,6.23
2021-07-05,6.07
2021-07-06,16.36
2021-07-07,16.0
2021-07-08,15.16
2021-07-09,14.63
2021-07-12,13.95
2021-07-13,13.69
2021-07-14,12.71
2021-07-15,12.07
2021-07-16,11.7
2021-07-19,12.12
2021-07-20,11.95
2021-07-21,11.91
2021-07-22,11.65
2021-07-23,11.64
2021-07-26,11.52
2021-07-27,11.02
2021-07-28,10.7
2021-07-29,10.5
2021-07-30,10.32
2021-08-02,10.05
2021-08-03,10.21
2021-08-04,31.11
2021-08-05,28.06
2021-08-06,25.92
2021-08-09,23.25
2021-08-10,21.57
2021-08-11,20.32
2021-08-12,18.73
2021-08-13,17.46
2021-08-16,16.71
2021-08-17,15.59
2021-08-18,14.16
2021-08-19,13.55
2021-08-20,12.26
2021-08-23,11.55
2021-08-24,11.13
2021-08-25,10.57
2021-08-26,9.87
2021-08-27,9.66
2021-08-30,9.51
2021-08-31,9.36
2021-09-01,9.06
2021-09-02,8.36
2021-09-03,8.31
2021-09-06,8.09
2021-09-07,7.93
2021-09-08,7.69
2021-09-09,7.8
2021-09-10,7.46
2021-09-13,7.59
2021-09-14,7.52
2021-09-15,8.2
2021-09-16,8.18
2021-09-17,8.12
2021-09-20,8.07
2021-09-21,7.71
2021-09-22,7.13
2021-09-23,7.54
2021-09-24,7.53
2021-09-27,8.0
2021-09-28,7.68
2021-09-29,7.69
2021-09-30,7.82
2021-10-01,7.37
2021-10-04,7.82
2021-10-05,7.71
2021-10-06,7.79
2021-10-07,7.41
2021-10-08,7.09
2021-10-11,7.23
2021-10-12,6.89
2021-10-13,6.57
2021-10-14,6.64
2021-10-15,6.97
2021-10-18,7.49
2021-10-19,7.42
2021-10-20,7.66
2021-10-21,7.37
2021-10-22,7.17
2021-10-25,7.15
2021-10-26,7.39
2021-10-27,6.93
2021-10-28,7.17
2021-10-29,6.98
2021-11-01,6.95
2021-11-02,5.99
2021-11-03,5.89
2021-11-04,6.45
2021-11-05,6.4
2021-11-08,6.03
2021-11-09,5.88
2021-11-10,5.94
2021-11-11,6.0
2021-11-12,6.2
2021-11-15,6.02
2021-11-16,5.84
2021-11-17,6.4
2021-11-18,6.55
2021-11-19,6.43
2021-11-22,6.38
2021-11-23,6.52
2021-11-24,6.35
2021-11-25,6.78
2021-11-26,6.13
2021-11-29,5.65
2021-11-30,5.68
2021-12-01,5.17
2021-12-02,5.21
2021-12-03,5.37
2021-12-06,5.42
2021-12-07,5.5
2021-12-08,5.55
2021-12-09,5.29
2021-12-10,5.56
2021-12-13,5.63
2021-12-14,5.35
2021-12-15,5.01
2021-12-16,5.06
2021-12-17,5.29
2021-12-20,5.02
2021-12-21,5.17
2021-12-22,5.41
2021-12-23,5.56
2021-12-24,5.75
2021-12-27,5.57
2021-12-28,5.93
2021-12-29,6.05
2021-12-30,5.75
2021-12-31,5.71
2022-01-03,5.94
2022-01-04,5.89
2022-01-05,5.42
2022-01-06,5.61
2022-01-07,5.9
2022-01-10,5.67
2022-01-11,5.92
2022-01-12,5.47
2022-01-13,5.18
2022-01-14,5.14
2022-01-17,5.13
2022-01-18,5.05
2022-01-19,5.3
2022-01-20,5.25
2022-01-21,5.33
2022-01-24,5.0
2022-01-25,4.76
2022-01-26,4.86
2022-01-27,4.55
2022-01-28,4.03
2022-01-31,4.23
2022-02-01,3.59
2022-02-02,3.52
2022-02-03,3.47
2022-02-04,3.18
2022-02-07,3.18
2022-02-08,2.87
2022-02-09,3.54
2022-02-10,3.34
2022-02-11,3.42
2022-02-14,3.57
2022-02-15,3.8
2022-02-16,3.98
2022-02-17,3.76
2022-02-18,4.91
2022-02-21,5.15
2022-02-22,5.21
2022-02-23,4.76
2022-02-24,5.02
2022-02-25,4.84
2022-02-28,5.05
2022-03-01,5.08
2022-03-02,4.95
2022-03-03,4.75
2022-03-04,5.0
2022-03-07,5.5
2022-03-08,5.77
2022-03-09,5.74
2022-03-10,5.7
2022-03-11,5.78
2022-03-14,5.79
2022-03-15,5.45
2022-03-16,5.81
2022-03-17,5.72
2022-03-18,6.17
2022-03-21,6.75
2022-03-22,6.15
2022-03-23,5.91
2022-03-24,6.28
2022-03-25,6.04
2022-03-28,5.69
2022-03-29,5.44
2022-03-30,5.71
2022-03-31,5.92
2022-04-01,6.2
2022-04-04,6.25
2022-04-05,6.83
2022-04-06,6.97
2022-04-07,7.14
2022-04-08,7.01
2022-04-11,6.91
2022-04-12,7.04
2022-04-13,7.53
2022-04-14,7.55
2022-04-15,7.96
2022-04-18,7.88
2022-04-19,7.28
2022-04-20,7.58
2022-04-21,7.41
2022-04-22,7.87
2022-04-25,7.55
2022-04-26,7.52
2022-04-27,7.51
2022-04-28,7.62
2022-04-29,7.88
2022-05-02,8.13
2022-05-03,7.77
2022-05-04,7.98
2022-05-05,8.18
2022-05-06,7.94
2022-05-09,8.01
2022-05-10,8.3
2022-05-11,7.79
2022-05-12,8.16
2022-05-13,8.32
2022-05-16,7.44
2022-05-17,7.24
2022-05-18,6.88
2022-05-19,6.29
2022-05-20,6.43
2022-05-23,6.28
2022-05-24,6.46
2022-05-25,5.93
2022-05-26,5.93
2022-05-27,6.13
2022-05-30,5.77
2022-05-31,5.57
2022-06-01,5.43
2022-06-02,4.79
2022-06-03,4.79
2022-06-06,5.07
2022-06-07,4.87
2022-06-08,4.63
2022-06-09,4.68
2022-06-10,4.66
2022-06-13,3.85
2022-06-14,4.02
2022-06-15,4.21
2022-06-16,4.45
2022-06-17,4.28
2022-06-20,4.19
2022-06-21,4.3
2022-06-22,4.26
2022-06-23,4.59
2022-06-24,5.1
2022-06-27,5.35
2022-06-28,5.77
2022-06-29,6.01
2022-06-30,5.97
2022-07-01,5.89
2022-07-04,6.45
2022-07-05,6.38
2022-07-06,5.88
2022-07-07,5.87
2022-07-08,6.04
2022-07-11,6.05
2022-07-12,5.92
2022-07-13,5.86
2022-07-14,5.91
2022-07-15,5.82
2022-07-18,6.21
2022-07-19,6.07
2022-07-20,6.44
2022-07-21,7.23
2022-07-22,6.87
2022-07-25,6.77
2022-07-26,7.18
2022-07-27,7.75
2022-07-28,7.13
2022-07-29,6.95
2022-08-01,6.86
2022-08-02,6.34
2022-08-03,6.29
2022-08-04,6.02
2022-08-05,6.23
2022-08-08,6.32
2022-08-09,6.64
2022-08-10,6.56
2022-08-11,6.79
2022-08-12,6.55
2022-08-15,6.31
2022-08-16,6.13
2022-08-17,5.73
2022-08-18,5.55
2022-08-19,5.55
2022-08-22,5.76
2022-08-23,6.18
2022-08-24,5.96
2022-08-25,5.61
2022-08-26,5.67
2022-08-29,6.03
2022-08-30,6.37
2022-08-31,6.87
2022-09-01,7.32
2022-09-02,7.75
2022-09-05,7.88
2022-09-06,7.91
2022-09-07,7.81
2022-09-08,7.66
2022-09-09,8.09
2022-09-12,8.18
2022-09-13,8.09
2022-09-14,8.05
2022-09-15,7.92
2022-09-16,7.96
2022-09-19,8.15
2022-09-20,8.35
2022-09-21,7.73
2022-09-22,8.06
2022-09-23,8.09
2022-09-26,7.78
2022-09-27,7.89
2022-09-28,23.04
2022-09-29,21.97
2022-09-30,20.21
2022-10-03,18.9
2022-10-04,17.95
2022-10-05,17.35
2022-10-06,16.95
2022-10-07,16.16
2022-10-10,15.59
2022-10-11,14.29
2022-10-12,14.04
2022-10-13,13.42
2022-10-14,12.71
2022-10-17,12.16
2022-10-18,12.18
2022-10-19,12.03
2022-10-20,11.75
2022-10-21,11.16
2022-10-24,10.6
2022-10-25,9.98
2022-10-26,9.73
2022-10-27,9.66
2022-10-28,9.38
2022-10-31,9.82
2022-11-01,9.67
2022-11-02,9.38
2022-11-03,9.18
2022-11-04,8.71
2022-11-07,8.62
2022-11-08,8.26
2022-11-09,8.14
2022-11-10,7.75
2022-11-11,7.44
2022-11-14,7.26
2022-11-15,7.14
2022-11-16,6.96
2022-11-17,6.53
2022-11-18,6.76
2022-11-21,7.13
2022-11-22,7.59
2022-11-23,7.71
2022-11-24,7.61
2022-11-25,7.49
2022-11-28,6.91
2022-11-29,20.24
2022-11-30,19.25
2022-12-01,18.75
2022-12-02,18.37
2022-12-05,17.58
2022-12-06,16.75
2022-12-07,15.5
2022-12-08,14.83
2022-12-09,26.63
2022-12-12,24.87
2022-12-13,23.02
2022-12-14,21.61
2022-12-15,20.71
2022-12-16,19.62
2022-12-19,18.94
2022-12-20,18.1
2022-12-21,17.38
2022-12-22,16.7
2022-12-23,15.41
2022-12-26,14.46
2022-12-27,13.38
2022-12-28,12.55
2022-12-29,12.56
2022-12-30,12.39
2023-01-02,11.94
2023-01-03,11.7
2023-01-04,11.18
2023-01-05,10.22
2023-01-06,10.09
2023-01-09,9.22
2023-01-10,9.18
2023-01-11,9.28
2023-01-12,8.47
2023-01-13,8.14
2023-01-16,8.35
2023-01-17,8.43
2023-01-18,8.6
2023-01-19,8.38
2023-01-20,7.95
2023-01-23,7.95
2023-01-24,7.17
2023-01-25,6.75
2023-01-26,7.07
2023-01-27,7.28
2023-01-30,7.5
2023-01-31,6.85
2023-02-01,6.86
2023-02-02,6.71
2023-02-03,6.92
2023-02-06,6.31
2023-02-07,5.94
2023-02-08,5.96
2023-02-09,5.73
2023-02-10,5.97
2023-02-13,6.68
2023-02-14,6.75
2023-02-15,7.07
2023-02-16,7.05
2023-02-17,7.19
2023-02-20,7.04
2023-02-21,7.25
2023-02-22,6.94
2023-02-23,6.47
2023-02-24,6.29
2023-02-27,6.03
2023-02-28,6.38
2023-03-01,6.37
2023-03-02,6.63
2023-03-03,6.61
2023-03-06,7.02
2023-03-07,7.01
2023-03-08,7.02
2023-03-09,6.54
2023-03-10,6.31
2023-03-13,34.15
2023-03-14,32.28
2023-03-15,30.33
2023-03-16,28.64
2023-03-17,26.83
2023-03-20,25.44
2023-03-21,23.46
2023-03-22,21.97
2023-03-23,20.78
2023-03-24,19.45
2023-03-27,18.57
2023-03-28,16.97
2023-03-29,15.57
2023-03-30,15.18
2023-03-31,14.6
2023-04-03,13.64
2023-04-04,13.03
2023-04-05,45.28
2023-04-06,41.01
2023-04-07,37.58
2023-04-10,34.5
2023-04-11,31.33
2023-04-12,28.25
2023-04-13,26.17
2023-04-14,24.2
2023-04-17,22.1
2023-04-18,20.67
2023-04-19,18.94
2023-04-20,17.88
2023-04-21,16.12
2023-04-24,15.01
2023-04-25,13.92
2023-04-26,13.07
2023-04-27,11.88
2023-04-28,10.74
2023-05-01,10.01
2023-05-02,9.9
2023-05-03,9.37
2023-05-04,8.77
2023-05-05,8.21
2023-05-08,7.58
2023-05-09,7.03
2023-05-10,6.57
2023-05-11,6.18
2023-05-12,5.83
2023-05-15,5.3
2023-05-16,4.91
2023-05-17,4.66
2023-05-18,4.22
2023-05-19,4.6
2023-05-22,4.65
2023-05-23,5.08
2023-05-24,5.32
2023-05-25,4.94
2023-05-26,4.94
2023-05-29,4.91
2023-05-30,5.28
2023-05-31,5.57
2023-06-01,5.23
2023-06-02,5.27
2023-06-05,4.63
2023-06-06,4.46
2023-06-07,4.52
2023-06-08,4.1
2023-06-09,3.94
2023-06-12,3.6
2023-06-13,3.45
2023-06-14,3.69
2023-06-15,27.39
2023-06-16,25.68
2023-06-19,24.39
2023-06-20,23.52
2023-06-21,22.46
2023-06-22,21.06
2023-06-23,20.31
2023-06-26,19.32
2023-06-27,18.02
2023-06-28,16.89
2023-06-29,16.1
2023-06-30,15.22
2023-07-03,14.35
2023-07-04,13.89
2023-07-05,13.59
2023-07-06,13.25
2023-07-07,12.95
2023-07-10,12.38
2023-07-11,11.76
2023-07-12,11.45
2023-07-13,10.9
2023-07-14,10.39
2023-07-17,10.22
2023-07-18,9.8
2023-07-19,8.89
2023-07-20,8.35
2023-07-21,7.82
2023-07-24,7.55
2023-07-25,7.41
2023-07-26,7.19
2023-07-27,58.97
2023-07-28,53.38
2023-07-31,48.41
2023-08-01,43.98
2023-08-02,39.93
2023-08-03,36.31
2023-08-04,33.03
2023-08-07,29.98
2023-08-08,27.14
2023-08-09,24.7
2023-08-10,22.35
2023-08-11,20.84
2023-08-14,19.31
2023-08-15,17.61
2023-08-16,16.06
2023-08-17,15.04
2023-08-18,14.19
2023-08-21,13.38
2023-08-22,12.82
2023-08-23,12.25
2023-08-24,11.36
2023-08-25,11.09
2023-08-28,10.2
2023-08-29,9.03
2023-08-30,8.94
2023-08-31,8.5
2023-09-01,8.24
2023-09-04,8.32
2023-09-05,8.11
2023-09-06,8.08
2023-09-07,7.67
2023-09-08,7.33
2023-09-11,7.46
2023-09-12,7.35
2023-09-13,7.59
2023-09-14,7.3
2023-09-15,6.83
2023-09-18,6.91
2023-09-19,6.98
2023-09-20,6.7
2023-09-21,7.04
2023-09-22,7.13
2023-09-25,7.02
2023-09-26,7.25
2023-09-27,7.34
2023-09-28,11.86
2023-09-29,11.39
2023-10-02,11.1
2023-10-03,10.37
2023-10-04,10.04
2023-10-05,9.55
2023-10-06,9.18
2023-10-09,8.61
2023-10-10,8.59
2023-10-11,8.72
2023-10-12,8.27
2023-10-13,8.1
2023-10-16,7.97
2023-10-17,7.88
2023-10-18,7.56
2023-10-19,7.44
2023-10-20,7.19
2023-10-23,6.69
2023-10-24,7.28
2023-10-25,7.47
2023-10-26,7.59
2023-10-27,7.75
2023-10-30,8.11
2023-10-31,7.63
2023-11-01,7.13
2023-11-02,6.9
2023-11-03,18.65
2023-11-06,17.03
2023-11-07,15.69
2023-11-08,14.88
2023-11-09,29.82
2023-11-10,27.69
2023-11-13,25.41
2023-11-14,23.83
